dataset,task,setting,GBT_mean,GBT_std,MLP_mean,MLP_std
bank_marketing,classification,original,0.8031,0.0002,0.7823,0.0071
bank_marketing,classification,rotated,0.7782,0.0033,0.7844,0.0053
california,regression,original,0.8129,0.0001,0.764,0.0023
california,regression,rotated,0.7127,0.0054,0.7647,0.0047
magic_telescope,classification,original,0.8543,0.0,0.8559,0.0027
magic_telescope,classification,rotated,0.8332,0.006,0.8567,0.0046
electricity,classification,original,0.8414,0.0002,0.8073,0.005
electricity,classification,rotated,0.7785,0.0044,0.8109,0.0039
house_16H,classification,original,0.885,0.0,0.8762,0.0053
house_16H,classification,rotated,0.855,0.0029,0.8763,0.0054
credit,classification,original,0.7806,0.0002,0.773,0.0026
credit,classification,rotated,0.7696,0.0031,0.7745,0.0041
phoneme,classification,original,0.868,0.0005,0.8533,0.0022
phoneme,classification,rotated,0.8394,0.0073,0.852,0.0069
wine,classification,original,0.7931,0.0016,0.7814,0.0154
wine,classification,rotated,0.7922,0.011,0.7832,0.0097
cpu_act,regression,original,0.9805,0.0,0.9683,0.0006
cpu_act,regression,rotated,0.8496,0.0165,0.9678,0.0012
elevators,regression,original,0.8492,0.0001,0.9023,0.0015
elevators,regression,rotated,0.7826,0.0136,0.8968,0.0102
wine_quality,regression,original,0.4021,0.0013,0.372,0.0018
wine_quality,regression,rotated,0.3843,0.0077,0.3749,0.0083
diamonds,regression,original,0.9447,0.0,0.9409,0.0007
diamonds,regression,rotated,0.9394,0.0014,0.9409,0.0006
isolet,regression,original,0.7648,0.0003,0.7842,0.0028
isolet,regression,rotated,0.6111,0.0091,0.7917,0.0147
pol,classification,original,0.9764,0.0002,0.9324,0.0048
pol,classification,rotated,0.7768,0.0101,0.9194,0.0049
kdd_ipums_la_97-small,classification,original,0.8887,0.0008,0.8801,0.0025
kdd_ipums_la_97-small,classification,rotated,0.8776,0.004,0.8819,0.0027
eye_movements,classification,original,0.6175,0.0002,0.5769,0.0032
eye_movements,classification,rotated,0.5721,0.0046,0.5744,0.0069
jannis,classification,original,0.7601,0.0002,0.75,0.0038
jannis,classification,rotated,0.7315,0.0059,0.7464,0.0056
Ailerons,regression,original,0.8302,0.0,0.783,0.0393
Ailerons,regression,rotated,0.7966,0.0022,0.7967,0.0222
house_sales,regression,original,0.8832,0.0002,0.8486,0.0058
house_sales,regression,rotated,0.7661,0.0098,0.8396,0.0069
MiamiHousing2016,regression,original,0.9075,0.0001,0.8776,0.0043
MiamiHousing2016,regression,rotated,0.8278,0.0041,0.8829,0.0045
superconduct,regression,original,0.8643,0.0001,0.868,0.0061
superconduct,regression,rotated,0.8394,0.0032,0.8707,0.0038
fifa,regression,original,0.6855,0.0001,0.664,0.0008
fifa,regression,rotated,0.6538,0.0028,0.6647,0.0024
Brazilian_houses,regression,original,0.9974,0.0,0.9942,0.0007
Brazilian_houses,regression,rotated,0.9803,0.0021,0.994,0.0009
