dataset,task,model,metric,val_score,test_score,best_params,n_iter,time_s
bank_marketing,classification,RandomForest,Accuracy,0.8067,0.7967,"{""bootstrap"": false, ""criterion"": ""entropy"", ""max_depth"": null, ""max_features"": 0.3, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 22, ""min_samples_split"": 2, ""n_estimators"": 26}",50,52.82
bank_marketing,classification,GBT,Accuracy,0.8111,0.8053,"{""criterion"": ""squared_error"", ""learning_rate"": 0.03284323370242609, ""loss"": ""exponential"", ""max_depth"": 3, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 13, ""min_samples_split"": 2, ""n_estimators"": 382, ""subsample"": 0.9944066124329092}",50,57.55
bank_marketing,classification,XGBoost,Accuracy,0.8078,0.8,"{""colsample_bylevel"": 0.7320431678687926, ""colsample_bytree"": 0.8149511807717785, ""gamma"": 8.837543353031056e-06, ""learning_rate"": 0.0036866924796732604, ""max_depth"": 8, ""min_child_weight"": 6, ""n_estimators"": 300, ""reg_alpha"": 8.433446290214635e-08, ""reg_lambda"": 1.4309757021915819, ""subsample"": 0.7259774703051949}",50,22.41
bank_marketing,classification,MLP,Accuracy,0.8067,0.7847,"{""batch_size"": 512, ""hidden_layer_sizes"": [818, 818, 818, 818, 818, 818, 818], ""learning_rate_init"": 0.00039071169241368576}",50,1891.27
california,regression,RandomForest,R²,0.839,0.8201,"{""bootstrap"": false, ""criterion"": ""absolute_error"", ""max_depth"": null, ""max_features"": ""log2"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 313}",50,306.7
california,regression,GBT,R²,0.8669,0.8378,"{""criterion"": ""squared_error"", ""learning_rate"": 0.1861435532254412, ""loss"": ""huber"", ""max_depth"": 3, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 20, ""min_samples_split"": 2, ""n_estimators"": 584, ""subsample"": 0.9526540251274591}",50,123.53
california,regression,XGBoost,R²,0.8667,0.846,"{""colsample_bylevel"": 0.9850105302997725, ""colsample_bytree"": 0.841992855999281, ""gamma"": 6.542621993440086e-08, ""learning_rate"": 0.00939429978608628, ""max_depth"": 11, ""min_child_weight"": 86, ""n_estimators"": 1900, ""reg_alpha"": 1.879356391023856e-05, ""reg_lambda"": 3.0345104111829246, ""subsample"": 0.7740887203035125}",50,28.4
california,regression,MLP,R²,0.8125,0.7755,"{""batch_size"": 1024, ""hidden_layer_sizes"": [936, 936, 936, 936, 936, 936, 936, 936], ""learning_rate_init"": 0.0025985384198656007}",50,3226.28
magic_telescope,classification,RandomForest,Accuracy,0.8678,0.859,"{""bootstrap"": false, ""criterion"": ""entropy"", ""max_depth"": null, ""max_features"": ""log2"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 313}",50,183.16
magic_telescope,classification,GBT,Accuracy,0.8711,0.8517,"{""criterion"": ""squared_error"", ""learning_rate"": 0.016951590037437916, ""loss"": ""exponential"", ""max_depth"": 3, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 588, ""subsample"": 0.519841540199588}",50,96.77
