dataset,task,n_noise,GBT_mean,GBT_std,MLP_mean,MLP_std
bank_marketing,classification,0,0.8031,0.0001,0.7819,0.0056
bank_marketing,classification,5,0.7983,0.0021,0.7767,0.0036
bank_marketing,classification,10,0.7979,0.003,0.7721,0.0026
bank_marketing,classification,20,0.7953,0.0017,0.7659,0.0026
bank_marketing,classification,50,0.7933,0.002,0.7533,0.0043
california,regression,0,0.6574,0.0001,0.6223,0.0014
california,regression,5,0.6486,0.0022,0.561,0.0046
california,regression,10,0.6437,0.0038,0.5279,0.0087
california,regression,20,0.6397,0.0019,0.4665,0.0126
california,regression,50,0.6298,0.0048,0.3624,0.0137
magic_telescope,classification,0,0.8547,0.0,0.8542,0.0035
magic_telescope,classification,5,0.8538,0.0016,0.8454,0.0029
magic_telescope,classification,10,0.8525,0.0012,0.8287,0.0039
magic_telescope,classification,20,0.8509,0.0017,0.8107,0.004
magic_telescope,classification,50,0.8472,0.002,0.7858,0.0046
